,p.values.getdata.....left.out._p.values,p.values.getdata.....left.out..1_p.values,p.values.getdata.....left.out._adjusted.p.values,p.values.getdata.....left.out..1_adjusted.p.values,p.values.getdata.....left.out._q.values,p.values.getdata.....left.out..1_q.values,post.hoc.15.0,post.hoc.30.0,post.hoc.45.0,post.hoc.30.15,post.hoc.45.15,post.hoc.45.30
Endotoxin,2.46E-12,1.15E-10,1.15E-10,5.43E-09,2.46E-11,1.26E-09,0.776854681,2.03E-08,2.02E-10,1.89E-07,1.43E-09,0.339010669
Glucose,5.51E-08,1.29E-06,1.29E-06,2.06E-05,2.38E-07,4.74E-06,0.230633594,0.17837743,5.67E-08,0.998815942,1.18E-05,1.85E-05
Alanine,8.38E-08,1.31E-06,1.31E-06,2.06E-05,2.80E-07,4.76E-06,0.689066533,8.22E-06,3.00E-06,0.000154646,5.54E-05,0.985821014
Methylamine,1.30E-06,1.53E-05,1.53E-05,0.000179945,3.16E-06,3.77E-05,0.529070815,0.034838953,1.28E-06,0.432297466,5.15E-05,0.004337091
Uracil,2.24E-06,2.10E-05,2.10E-05,0.000197485,4.48E-06,4.57E-05,0.015674315,5.75E-05,2.41E-06,0.196083663,0.018461136,0.703526269
Acetate,0.000200873,0.001573505,0.001573505,0.012325793,0.000335503,0.002687871,0.424575403,0.160776169,0.096554821,0.92683468,0.001497338,0.000251665
Propionate,0.000410223,0.002754354,0.002754354,0.018493517,0.000587284,0.004042501,0.702402137,0.49952631,0.000360458,0.986200397,0.005906107,0.014432411
NDMA,0.001256741,0.006818384,0.006818384,0.035160034,0.001370873,0.006740626,0.929785426,0.079360879,0.027185797,0.015616238,0.004403608,0.963104354
Dimethylamine,0.001305648,0.006818384,0.006818384,0.035160034,0.001404899,0.006740626,0.695565248,0.058840977,0.001272743,0.406714976,0.019475952,0.438104987
Xanthine,0.001826394,0.00858405,0.00858405,0.035160034,0.001717174,0.007432147,0.345687167,0.007964769,0.0028826,0.290980724,0.147839356,0.980367337
Valine,0.002343141,0.009235749,0.009235749,0.035160034,0.0019578,0.007645885,0.860122647,0.019621811,0.007447031,0.103059628,0.044261914,0.980194437
Phenylacetate,0.002358064,0.009235749,0.009235749,0.035160034,0.001963955,0.007645885,0.062536073,0.036443121,0.001238458,0.994927719,0.416493915,0.560668041
Lysine,0.00278176,0.010057131,0.010057131,0.035160034,0.00212364,0.00788998,0.999896898,0.768907038,0.007288289,0.715204173,0.004706446,0.06606308
Leucine,0.003119677,0.010473202,0.010473202,0.035160034,0.002233097,0.008004125,0.998832111,0.023019568,0.037444314,0.027237168,0.044535121,0.996790705
Butyrate,0.004792512,0.014877413,0.014877413,0.040937802,0.002938788,0.008928409,0.628404685,0.596988029,0.181430799,0.999947884,0.009564577,0.008336569
Valerate,0.005064651,0.014877413,0.014877413,0.040937802,0.003034893,0.008928409,0.397986172,0.021085392,0.006138031,0.442334562,0.20745813,0.960903834
Glycerol,0.005437908,0.015034215,0.015034215,0.040937802,0.0031598,0.008954053,0.876692333,0.043988598,0.012008047,0.186550102,0.061954929,0.947892151
Lactate,0.006481864,0.016549324,0.016549324,0.040937802,0.003472091,0.009183167,0.999993069,0.013646582,0.85162424,0.011656243,0.854070703,0.078657196
Nicotinate,0.006690152,0.016549324,0.016549324,0.040937802,0.003528648,0.009183167,0.700358456,0.009501329,0.042868756,0.106677916,0.32695919,0.923795581
X3.PP,0.007959373,0.018704526,0.018704526,0.041105403,0.00386378,0.009459923,0.455978801,0.017084799,0.015474695,0.338294698,0.31829173,0.999976259
Fumarate,0.008623432,0.019240827,0.019240827,0.041105403,0.004018704,0.009521339,0.390545977,0.591056608,0.252660189,0.027855371,0.991273339,0.013470945
Cadaverine,0.009006344,0.019240827,0.019240827,0.041105403,0.004102531,0.009521339,0.956288956,0.20416188,0.080380157,0.063954625,0.020301003,0.961579329
Ferulate,0.010641476,0.021745625,0.021745625,0.044436712,0.004636604,0.010275518,0.403633389,0.476948408,0.45077756,0.018420372,0.999775424,0.022758786
Hypoxanthine,0.012286984,0.02406201,0.02406201,0.047121437,0.005130504,0.010914847,0.712186107,0.062039122,0.016004563,0.404296094,0.154457175,0.936529634
Isoleucine,0.01605108,0.030176031,0.030176031,0.056600942,0.006309103,0.012789356,0.997626355,0.037765438,0.844448738,0.019628996,0.730162513,0.188852366
Glycine,0.017321067,0.03131116,0.03131116,0.056600942,0.006676168,0.013110606,0.879212091,0.039125645,0.061693013,0.167682607,0.241535366,0.996908566
PAG,0.022782991,0.039659281,0.039659281,0.069036526,0.008456155,0.015991089,0.956867549,0.284758842,0.155339788,0.099164596,0.045557899,0.984471034
Glutamate,0.034113097,0.05726127,0.05726127,0.096117131,0.012179874,0.022115049,0.746765715,0.050644266,0.084381378,0.323372939,0.452240074,0.995176912
Benzoate,0.051204953,0.082987337,0.082987337,0.134496719,0.017290358,0.030190564,0.996132619,0.067844249,0.941707593,0.094906043,0.98454024,0.189603945
Ethanol,0.062603215,0.09807837,0.09807837,0.14995511,0.020400954,0.034505836,0.959534503,0.317336879,0.07633356,0.580229892,0.184198326,0.86117742
Proline,0.065236243,0.098906562,0.098906562,0.14995511,0.021088865,0.034734446,0.978270952,0.111624088,0.233666035,0.21491344,0.405364304,0.977276158
X3.HP,0.10396018,0.152691514,0.152691514,0.224265661,0.03140971,0.049557781,0.076586048,0.371518983,0.720095133,0.809354905,0.452774441,0.931045726
Isovalerate,0.11829371,0.16847892,0.16847892,0.239954825,0.034895778,0.053491467,0.405549047,0.999936863,0.856499223,0.351561511,0.08904888,0.872200371
X3.HB,0.128733749,0.177955477,0.177955477,0.245997277,0.03733296,0.055771512,0.543083993,0.76425099,0.090297094,0.981455517,0.682633114,0.452830837
Maltose,0.136658035,0.183512218,0.183512218,0.246430692,0.03912849,0.057081306,0.979679478,0.999813387,0.295428472,0.962628432,0.13290938,0.311131134
Aspartate,0.166261775,0.217063984,0.217063984,0.28338909,0.0462824,0.065642065,0.938146478,0.500415238,0.865280161,0.826462776,0.514183462,0.130590866
Caffeine,0.248892272,0.316160454,0.316160454,0.401609225,0.065934542,0.09016191,0.851298709,0.636631664,0.989085809,0.189246772,0.661358488,0.804478355
Succinate,0.26865982,0.332289777,0.332289777,0.410989988,0.070357432,0.093890869,0.785597075,0.342394517,0.999996877,0.864050237,0.783069678,0.329561125
Ribose,0.325908076,0.392761014,0.392761014,0.473327376,0.082614121,0.107281506,0.971294053,0.553025655,0.998807045,0.284314915,0.930228977,0.624961909
Tyrosine,0.366581507,0.43073327,0.43073327,0.505416251,0.090855401,0.115243472,0.999856778,0.738563484,0.456966203,0.765273262,0.477306424,0.963611833
Methanol,0.384610556,0.440895028,0.440895028,0.505416251,0.094392217,0.11731915,0.946509012,0.965637252,0.683515898,0.725401401,0.335260017,0.909888979
Isobutyrate,0.480285709,0.537462579,0.537462579,0.601446219,0.115168821,0.139432268,0.999997533,0.978080413,0.705383094,0.972969742,0.699353373,0.438319298
Choline,0.663161647,0.724851102,0.724851102,0.788488022,0.152340589,0.179328107,0.999586083,0.865202048,0.723245436,0.900557429,0.767963174,0.992238843
Histidine,0.691042468,0.738159,0.738159,0.788488022,0.15773508,0.182021198,0.984563227,0.64757399,0.950763043,0.83424301,0.997787892,0.911732207
Acetoacetate,0.733260688,0.765850052,0.765850052,0.799887832,0.165774174,0.187568709,0.999678614,0.878589888,0.883566551,0.823824758,0.829907942,0.99999932
Formate,0.804256363,0.821740197,0.821740197,0.839604114,0.178952452,0.198539402,0.999997255,0.948607492,0.974303858,0.93892795,0.975760598,0.756818379
X1.3.D,0.942530958,0.942530958,0.942530958,0.942530958,0.203459632,0.221266031,0.999320266,0.943838232,0.999762901,0.969876214,0.999980619,0.962151154
